sector;zone;type;x;y;points
E;Z2;CP1;1499;954;5
E;Z2;LT2;1507;977;20
E;Z2;CP2;1471;934;5
E;Z3;STRHD;1405;912;10
E;Z3;ST2;1400;882;20
E;Z3;CP1;1353;839;5
E;Z3;CP2;1312;824;125
E;Z3;CP1;1320;872;5
E;Z3;CP2;1238;811;20
E;Z3;CP2;1254;849;5
E;Z3;CP2;1239;784;5
E;Z4;ST1;1255;687;15
E;Z4;CP1;1243;666;5
E;Z4;LT4;1220;729;50
E;Z4;CP1;1201;731;5
E;Z4;CP1;1217;750;5
E;Z4;LT2;1169;671;20
E;Z4;STRHD;1162;639;10
E;Z4;CP5;1128;658;5
E;Z4;CP5;1169;787;5
E;Z5;CP1;1210;843;5
E;Z5;CP1;1249;882;5
E;Z5;ST2;1261;924;20
E;Z5;STRHD;1222;907;10
E;Z5;LT4;1200;875;50
E;Z5;CP1;1188;885;5
E;Z5;CP5;1141;874;5
WC;Z1;ST2;582;1065;20
WC;Z1;ST2;527;1047;20
WC;Z1;LT4;566;1005;50
WC;Z1;CP1;549;1039;5
WC;Z1;CP1;538;1007;5
WC;Z1;CP1;574;1034;5
WC;Z1,2;CP2;522;954;5
WC;Z1,4;CP2;595;1009;5
WC;Z2;ST2;503;806;20
WC;Z2;LT4;534;881;50
WC;Z2;ST2;506;934;20
WC;Z2;CP1;492;913;5
WC;Z2;CP1;509;892;5
WC;Z2,3;CP2;514;781;5
WC;Z3;ST2;584;735;20
WC;Z3;LT4;567;800;50
WC;Z3;CP1;565;735;5
WC;Z3,NC1;CP4;605;722;5
WC;Z3,4;CP2;588;815;5
WC;Z4;C6;634;942;100
WC;Z4;ST2;596;977;20
WC;Z4;CP1;604;871;5
WC;Z4,C;CP5;627;855;5
W;Z1;ST1;97;983;15
W;Z1;ST1;101;1114;15
W;Z1;LT3;200;1092;30
W;Z1;ST1;309;1046;15
W;Z1;CP1;143;1140;5
W;Z1;CP1;154;1009;5
W;Z1;CP1;253;1137;5
W;Z1;CP1;278;1052;5
W;Z1,2;CP2;89;918;5
W;Z2;LT3;173;916;30
W;Z2;ST1;63;897;15
W;Z2;ST1;115;781;15
W;Z2;ST1;241;880;15
W;Z2;CP1;130;904;5
W;Z2;CP1;126;835;5
W;Z2,4;CP2;327;937;5
W;Z2,3;CP2;64;758;5
W;Z3;LT3;101;649;30
W;Z3;ST1;108;575;15
W;Z3;ST1;60;703;15
W;Z3;ST1;163;722;15
W;Z3;CP1;87;682;5
W;Z3;CP1;118;625;5
W;Z3;CP1;57;566;5
W;Z3,NW1;CP3;37;544;5
W;Z3;CP1;106;538;5
W;Z3,4;CP2;232;682;5
W;Z4;ST1;256;619;15
W;Z4;C5;262;850;70
W;Z4;LT3;329;778;30
W;Z4;ST1;219;752;15
W;Z4;CP1;276;691;5
W;Z4,5;CP2;324;675;5
W;Z4;CP1;303;789;5
W;Z4;CP2;343;829;5
W;Z5;ST1;458;726;15
W;Z5;LT3;427;730;30
W;Z5;CP1;356;671;5
W;Z5,NW5;CP3;371;661;5
W;Z5;CP1;394;705;5
W;Z5;CP1;421;710;5
W;Z5,NC1;CP4;472;694;5
W;Z5,WC3;CP4;545;738;5
W;Z6;ST1;391;907;15
W;Z6;ST1;381;827;15
W;Z6;LT3;403;792;30
W;Z6;CP1;413;775;5
W;Z6;CP1;408;837;5
W;Z6,WC2;CP4;459;868;5
N4;Z1;ST1;70;467;15
N4;Z1;ST1;103;440;15
N4;Z1;ST1;89;390;15
N4;Z1;CP1;101;378;5
N4;Z1;CP1;103;368;5
N4;Z1;LT4;108;356;50
N4;Z1;ST1;56;287;15
N4;Z1;CP2;114;316;5
N4;Z1;CP2;126;405;5
N4;Z2;ST1;70;224;15
N4;Z2;ST2;109;202;20
N4;Z2;ST2;132;266;20
N4;Z2;CP1;167;266;5
N4;Z2;CP5;173;244;100
N4;Z2;CP1;185;249;5
N4;Z2;CP2;187;329;5
N4;Z2;CP2;195;215;5
N4;Z2;CP2;83;159;5
N4;Z3;ST1;36;117;15
N4;Z3;ST1;88;116;15
N4;Z3;LT4;111;92;50
N4;Z3;ST1;104;47;15
N4;Z3;ST1;141;54;15
N4;Z3;CP1;152;72;5
N4;Z3;CP1;160;96;5
N4;Z3;CP1;140;102;5
N4;Z4;CP4;190;509;5
N4;Z4;ST2;179;438;20
N4;Z4;CP1;215;450;5
N4;Z4;LT4;219;414;50
N4;Z4;STRHD;226;382;10
N4;Z4;ST1;221;335;15
N4;Z4;CP1;269;436;5
N4;Z4;ST1;289;449;15
N4;Z5;ST1;182;169;15
N4;Z5;ST1;202;120;15
N4;Z5;CP1;223;127;5
N4;Z5;CP1;244;130;5
N4;Z5;LT4;246;191;50
N4;Z5;CP1;262;197;5
N4;Z5;ST2;268;247;20
N4;Z5;STRHD;302;236;10
N4;Z5;CP1;306;300;5
N4;Z6;LT4;361;370;50
N4;Z6;ST1;362;419;15
N4;Z6;STRHD;403;444;10
N4;Z6;ST1;452;415;15
N4;Z6;CP1;365;465;5
N4;Z6;CP1;493;493;5
N4;Z6;CP1;470;359;5
N3;Z1;ST2;822;111;20
N3;Z1;CP1;853;89;5
N3;Z1;ST1;866;85;15
N3;Z1;CP1;876;97;5
N3;Z1,Z5;CP2;888;104;5
N3;Z1,Z2;CP2;925;51;5
N3;Z1;CP1;831;163;5
N3;Z1;ST1;911;228;15
N3;Z1;LT4;855;178;50
N3;Z1,Z4;CP2;960;281;5
N3;Z3;ST1;1175;61;15
N3;Z3;CP1;1249;109;5
N3;Z3;LT4;1249;94;50
N3;Z3;CP1;1263;83;5
N3;Z3;ST1;1290;120;15
N3;Z3;LT4;1305;61;15
N3;Z3,Z6;CP2;1257;139;5
N3;Z3,N4-Z1;CP3;1375;116;5
N3;Z5;ST2;955;176;20
N3;Z5;CP1;1017;269;5
N3;Z5;CP2;1017;233;100
N3;Z5;STRHD;1051;256;10
N3;Z5;CP1;1051;241;5
N3;Z5;ST2;1054;302;20
N3;Z5;CP1;1087;263;5
N3;Z5;ST1;1083;249;15
N3;Z5,Z6;CP2;1113;236;5
N3;Z5,N4-Z4;CP3;1117;305;5
N3;Z6;CP1;1166;145;5
N3;Z6;CP1;1184;167;5
N3;Z6;ST1;1192;148;15
N3;Z6;LT4;1197;202;50
N3;Z6;CP1;1167;200;5
N3;Z6;ST2;1146;206;20
N3;Z6;STRHD;1175;239;10
N3;Z6;ST1;1246;233;15
N2;Z1;ST1;244;94;15
N2;Z1;ST1;288;76;15
N2;Z1;LT4;312;135;50
N2;Z1;CP1;337;120;5
N2;Z1;CP1;354;105;5
N2;Z1;CP2;380;93;5
N2;Z1;CP1;391;168;5
N2;Z1;CP1;398;177;5
N2;Z1;CP2;370;205;5
N2;Z1;CP2;463;193;5
N2;Z2;ST1;427;93;15
N2;Z2;ST1;463;69;15
N2;Z2;CP1;474;150;5
N2;Z2;LT4;494;139;50
N2;Z2;CP1;506;118;5
N2;Z2;CP2;525;103;5
N2;Z2;CP1;509;213;5
N2;Z2;CP2;533;168;5
N2;Z2;CP1;551;198;5
N2;Z2;CP2;577;155;5
N2;Z2;CP1;577;76;5
N2;Z3;CP1;598;89;5
N2;Z3;CP1;608;104;20
N2;Z3;CP1;619;130;5
N2;Z3;LT4;666;131;50
N2;Z3;CP1;709;134;5
N2;Z3;CP2;722;173;15
N2;Z3;CP1;704;109;5
N2;Z3;CP2;724;25;5
N2;Z3;CP1;718;270;20
N2;Z3;CP1;485;348;5
N2;Z3;CP1;484;337;15
N2;Z3;CP1;476;311;5
N2;Z3;LT4;479;296;15
N2;Z3;LT4;514;340;10
N2;Z3;LT4;537;316;15
N2;Z3;CP2;570;318;5
N2;Z3;CP1;561;401;5
N2;Z5;CP1;596;324;5
N2;Z5;CP1;608;325;20
N2;Z5;CP1;599;289;5
N2;Z5;CP1;590;258;100
N2;Z5;CP1;608;231;5
N2;Z5;CP1;596;209;20
N2;Z5;STRHD;660;357;10
N2;Z5;CP1;693;358;15
N2;Z5;CP2;684;289;5
N2;Z5;CP2;698;417;5
N2;Z6;CP1;684;230;15
N2;Z6;CP1;730;286;5
N2;Z6;LT4;749;296;15
N2;Z6;CP1;773;307;5
N2;Z6;CP1;801;338;20
N2;Z6;STRHD;815;331;10
N2;Z6;CP1;775;261;15
N2;Z6;CP1;783;257;5
N2;Z6;CP2;802;260;5
N1;Z1;ST1;70;467;15
N1;Z1;ST1;103;440;15
N1;Z1;ST1;89;390;15
N1;Z1;CP1;101;378;5
N1;Z1;CP1;103;368;5
N1;Z1;LT4;108;356;50
N1;Z1;ST1;56;287;15
N1;Z1;CP2;114;316;5
N1;Z1;CP2;126;405;5
N1;Z2;ST1;70;224;15
N1;Z2;ST2;109;202;20
N1;Z2;ST2;132;266;20
N1;Z2;CP1;167;266;5
N1;Z2;CP5;173;244;100
N1;Z2;CP1;185;249;5
N1;Z2;CP2;187;329;5
N1;Z2;CP2;195;215;5
N1;Z2;CP2;83;159;5
N1;Z3;ST1;36;117;15
N1;Z3;ST1;88;116;15
N1;Z3;LT4;111;92;50
N1;Z3;ST1;104;47;15
N1;Z3;ST1;141;54;15
N1;Z3;CP1;152;72;5
N1;Z3;CP1;160;96;5
N1;Z3;CP1;140;102;5
N1;Z4;CP4;190;509;5
N1;Z4;ST2;179;438;20
N1;Z4;CP1;215;450;5
N1;Z4;LT4;219;414;50
N1;Z4;STRHD;226;382;10
N1;Z4;ST1;221;335;15
N1;Z4;CP1;269;436;5
N1;Z4;ST1;289;449;15
N1;Z5;ST1;182;169;15
N1;Z5;ST1;202;120;15
N1;Z5;CP1;223;127;5
N1;Z5;CP1;244;130;5
N1;Z5;LT4;246;191;50
N1;Z5;CP1;262;197;5
N1;Z5;ST2;268;247;20
N1;Z5;STRHD;302;236;10
N1;Z5;CP1;306;300;5
N1;Z6;LT4;361;370;50
N1;Z6;ST1;362;419;15
N1;Z6;STRHD;403;444;10
N1;Z6;ST1;452;415;15
N1;Z6;CP1;365;465;5
N1;Z6;CP1;493;493;5
N1;Z6;CP1;470;359;5
S4;Z1;ST1;792;1511;15
S4;Z1;CP1;778;1503;5
S4;Z1,Z4;CP2;765;1485;5
S4;Z1;CP1;667;1487;15
S4;Z1;CP1;650;1477;5
S4;Z1;CP1;619;1470;15
S4;Z1;LT4;647;1441;50
S4;Z1;ST1;610;1406;15
S4;Z1,Z3;CP2;590;1423;5
S4;Z2;CP2;460;1465;5
S4;Z2;ST1;460;1493;15
S4;Z2;CP1;424;1496;5
S4;Z2;ST1;404;1499;15
S4;Z2;ST1;345;1507;15
S4;Z2;LT4;351;1437;50
S4;Z2;ST1;312;1460;15
S4;Z2;CP1;334;1404;5
S4;Z2;CP2;337;1382;5
S4;Z3,Z4-Z1;CP3;298;1347;5
S4;Z3;ST2;389;1318;20
S4;Z3;LT4;458;1390;50
S4;Z3;CP1;458;1415;5
S4;Z3;CP1;504;1444;5
S4;Z3;ST1;533;1464;15
S4;Z3;ST1;537;1376;15
S4;Z3,Z4;CP2;530;1318;5
S4;Z3,Z5;CP2;473;1330;5
S4;Z4;ST1;733;1400;15
S4;Z4;ST2;648;1307;20
S4;Z4;STRHD;603;1280;10
S4;Z4;ST2;581;1329;20
S4;Z4;CP2;655;1264;5
S4;Z4;CP1;558;1269;100
S4;Z4;CP1;543;1262;5
S4;Z4;CP1;554;1243;5
S4;Z4;CP2;531;1212;5
S4;Z5;ST1;469;1195;15
S4;Z5;CP1;445;1217;5
S4;Z5;LT4;434;1239;50
S4;Z5;CP1;444;1267;5
S4;Z5;ST1;422;1161;15
S4;Z5;STRHD;369;1149;10
S4;Z5,Z4-Z5;CP3;352;1174;20
S4;Z5,Z4-Z5;CP3;307;1172;5
S4;Z6;CP1;685;1249;5
S4;Z6;LT4;700;1247;50
S4;Z6;CP1;718;1261;5
S4;Z6;ST1;611;1198;15
S4;Z6;LT4;574;1140;15
S4;Z6;STRHD;369;1149;10
S4;Z6;CP2;660;1142;20
S4;Z6;WC-Z5;CP?;655;1076;5
S4;Z6;WC-Z4;CP?;549;1080;5
S3;Z1;ST1;792;1511;15
S3;Z1;CP1;778;1503;5
S3;Z1,Z4;CP2;765;1485;5
S3;Z1;CP1;667;1487;15
S3;Z1;CP1;650;1477;5
S3;Z1;CP1;619;1470;15
S3;Z1;LT4;647;1441;50
S3;Z1;ST1;610;1406;15
S3;Z1,Z3;CP2;590;1423;5
S3;Z2;CP2;460;1465;5
S3;Z2;ST1;460;1493;15
S3;Z2;CP1;424;1496;5
S3;Z2;ST1;404;1499;15
S3;Z2;ST1;345;1507;15
S3;Z2;LT4;351;1437;50
S3;Z2;ST1;312;1460;15
S3;Z2;CP1;334;1404;5
S3;Z2;CP2;337;1382;5
S3;Z3,Z4-Z1;CP3;298;1347;5
S3;Z3;ST2;389;1318;20
S3;Z3;LT4;458;1390;50
S3;Z3;CP1;458;1415;5
S3;Z3;CP1;504;1444;5
S3;Z3;ST1;533;1464;15
S3;Z3;ST1;537;1376;15
S3;Z3,Z4;CP2;530;1318;5
S3;Z3,Z5;CP2;473;1330;5
S3;Z4;ST1;733;1400;15
S3;Z4;ST2;648;1307;20
S3;Z4;STRHD;603;1280;10
S3;Z4;ST2;581;1329;20
S3;Z4;CP2;655;1264;5
S3;Z4;CP1;558;1269;100
S3;Z4;CP1;543;1262;5
S3;Z4;CP1;554;1243;5
S3;Z4;CP2;531;1212;5
S3;Z5;ST1;469;1195;15
S3;Z5;CP1;445;1217;5
S3;Z5;LT4;434;1239;50
S3;Z5;CP1;444;1267;5
S3;Z5;ST1;422;1161;15
S3;Z5;STRHD;369;1149;10
S3;Z5,Z4-Z5;CP3;352;1174;20
S3;Z5,Z4-Z5;CP3;307;1172;5
S3;Z6;CP1;685;1249;5
S3;Z6;LT4;700;1247;50
S3;Z6;CP1;718;1261;5
S3;Z6;ST1;611;1198;15
S3;Z6;LT4;574;1140;15
S3;Z6;STRHD;369;1149;10
S3;Z6;CP2;660;1142;20
S3;Z6;WC-Z5;?;655;1076;5
S3;Z6;WC-Z4;?;549;1080;5
S2;Z1;CP1;1351;1392;5
S2;Z1;ST1;1371;1441;15
S2;Z1;CP1;1316;1395;5
S2;Z1;ST1;1312;1362;15
S2;Z1;LT4;1269;1377;50
S2;Z1;ST1;1302;1416;15
S2;Z1;LT4;1274;1443;15
S2;Z1;CP2;1215;1335;5
S2;Z1;LT4;1162;1361;15
S2;Z1;CP1;1125;1331;5
S2;Z1;LT4;1118;1374;5
S2;Z1;CP2;1088;1308;5
S2;Z2;ST1;1144;1428;15
S2;Z2;ST1;1122;1497;15
S2;Z2;LT4;1062;1049;50
S2;Z2;CP1;1054;1423;5
S2;Z2;ST2;1032;1423;20
S2;Z2;CP1;1034;1385;5
S2;Z2;CP2;1023;1358;5
S2;Z2;LT4;1021;1460;5
S2;Z3;ST1;980;1436;15
S2;Z3;ST1;901;1398;15
S2;Z3;ST1;901;1464;15
S2;Z3;ST1;854;1440;5
S2;Z3;ST1;832;1435;15
S2;Z3;CP1;830;1415;5
S2;Z3;LT4;837;1351;50
S2;Z3;CP1;861;1350;5
S2;Z3;LT4;864;1331;5
S2;Z3;CP2;794;1302;5
S2;Z4;ST2;1238;1301;20
S2;Z4;CP1;1176;1271;5
S2;Z4;ST1;1153;1253;15
S2;Z4;CP1;1130;1225;5
S2;Z4;LT4;1131;1197;50
S2;Z4;ST1;1113;1252;15
S2;Z4;LT4;1109;1271;5
S2;Z4;ST2;1043;1220;10
S2;Z4;LT4;1028;1208;5
S2;Z5;ST2;1025;1252;20
S2;Z5;ST2;988;1230;10
S2;Z5;CP1;961;1248;100
S2;Z5;ST1;941;1234;5
S2;Z5;ST1;959;1308;15
S2;Z5;ST2;896;1210;20
S2;Z5;CP2;917;1282;5
S2;Z6;ST1;910;1324;15
S2;Z6;CP1;877;1287;5
S2;Z6;LT4;873;1277;50
S2;Z6;ST2;846;1239;20
S2;Z6;CP1;828;1254;5
S2;Z6;ST2;803;1271;10
S2;Z6;LT4;796;1238;15
S2;Z6;CP2;804;1214;5
S2;Z6;CP3;753;1221;5
